ma_hs,giua_ky,cuoi_ky,tb_ca_nam
1,2.0,2.0,2.0
1,2.0,5.0,3.5
TH12345,7.2,8.1,7.7
TH12346,8.5,8.8,8.7
TH12347,6.8,7.4,7.1
TH12348,9.0,9.2,9.1
TH12349,5.8,6.5,6.2
TH12350,7.6,8.0,7.8
TH12351,8.2,8.6,8.4
TH12352,6.4,7.0,6.7
TH12353,7.8,8.3,8.1
TH12354,8.9,9.1,9.0
TH12355,6.2,6.8,6.5
TH12356,7.4,7.9,7.7
TH12357,9.2,9.5,9.4
TH12358,8.7,9.0,8.9
TH12359,7.0,7.6,7.3
TH12360,6.6,7.2,6.9
TH12361,8.1,8.4,8.3
TH12362,7.3,7.8,7.6
TH12363,5.9,6.4,6.2
TH12364,8.4,8.7,8.6
TH12365,7.5,8.0,7.8
TH12366,9.1,9.3,9.2
TH12367,6.0,6.7,6.4
TH12368,7.7,8.2,8.0
TH12369,8.3,8.5,8.4
TH12370,6.9,7.5,7.2
TH12371,7.1,7.7,7.4
TH12372,8.6,8.9,8.8
TH12373,5.7,6.3,6.0
TH12374,7.9,8.4,8.2
TH12375,8.0,8.3,8.2
TH12376,9.0,9.4,9.2
TH12377,6.5,7.1,6.8
TH12378,7.2,7.8,7.5
TH12379,8.8,9.0,8.9
TH12380,6.3,6.9,6.6
TH12381,7.6,8.1,7.9
TH12382,8.2,8.6,8.4
TH12383,5.8,6.5,6.2
TH12384,7.4,8.0,7.7
TH12385,8.5,8.8,8.7
TH12386,6.7,7.3,7.0
TH12387,9.3,9.6,9.5
TH12388,7.0,7.5,7.3
TH12389,8.1,8.5,8.3
TH12390,6.4,7.0,6.7
TH12391,7.8,8.3,8.1
TH12392,8.7,9.0,8.9
TH12393,6.1,6.8,6.5
TH12394,7.5,8.0,7.8
TH46,1.0,1.0,1.0
